File Path,File Size (bytes),Description
README.md,10452,Project documentation and usage guide
__init__.py,31,Project file
backends/__init__.py,31,Project file
backends/hackrf_backend.py,21220,HackRF backend implementation
backends/pluto_backend.py,18698,PlutoSDR backend implementation
backends/rtlsdr_backend.py,16873,RTL-SDR backend implementation
backends/soapy_backend.py,15338,SoapySDR backend for universal SDR support
config/__init__.py,31,Project file
config/default_config.yaml,5865,Default configuration file with all settings
config/settings.py,9207,Application configuration management system
core/__init__.py,31,Project file
core/app.py,15317,Main application class coordinating all components
core/sdr_backend.py,16201,SDR backend management and device abstraction
core/signal_processor.py,23507,Core signal processing engine integrating all DSP libraries
dsp/__init__.py,31,Project file
dsp/filters.py,26242,Advanced digital filters using mhostetter/sdr and scikit-dsp-comm
dsp/modulation.py,26097,Modulation/demodulation and automatic classification
gui/dialogs/__init__.py,31,Project file
gui/main_window.py,24900,Main GUI window with spectrum display and controls
main.py,8249,Main application entry point with command-line interface
requirements.txt,597,Python dependencies specification
setup.py,2672,Python package installation script
utils/__init__.py,31,Project file
utils/helpers.py,16403,Utility functions for signal processing and file I/O
utils/logger.py,9228,Comprehensive logging system with performance monitoring
