Category,Feature
Core Features,USRP N210/X310 connection via UHD Python API
Core Features,Real-time spectrum analysis with PyQtGraph
Core Features,Waterfall spectrogram display
Core Features,RF signal detection and scanning
Core Features,Multiple demodulation types
Core Features,Carrier frequency peak detection
Core Features,Automatic modulation classification
Core Features,Constellation diagram plotting
Core Features,IQ data recording to binary files
Demodulation Types,BPSK (Binary Phase Shift Keying)
Demodulation Types,QPSK (Quadrature Phase Shift Keying)
Demodulation Types,OQPSK (Offset QPSK)
Demodulation Types,8PSK (8-Phase Shift Keying)
Demodulation Types,8QAM (8-Quadrature Amplitude Modulation)
GUI Components,Main control panel
GUI Components,Frequency range controls (f1-f2)
GUI Components,Spectrum plot with PyQtGraph
GUI Components,Waterfall display
GUI Components,Signal parameters display
GUI Components,Constellation plot
GUI Components,Recording controls
GUI Components,Demodulation controls
Technical Requirements,PySide6 for GUI framework
Technical Requirements,PyQtGraph for real-time plotting
Technical Requirements,UHD Python bindings for USRP
Technical Requirements,NumPy/SciPy for signal processing
Technical Requirements,Real-time signal processing
Technical Requirements,Thread-based architecture
